iter	Passed	Remaining
0	35	71909
1	66	66708
2	90	60154
3	119	59496
4	151	60270
5	183	60953
6	216	61594
7	247	61509
8	298	65988
9	354	70558
10	396	71623
11	422	69986
12	449	68776
13	481	68262
14	512	67783
15	541	67108
16	566	66101
17	597	65751
18	626	65307
19	656	64993
20	679	64063
21	712	64020
22	742	63842
23	775	63851
24	797	62963
25	827	62833
26	861	62981
27	889	62645
28	918	62427
29	950	62400
30	979	62243
31	1011	62202
32	1045	62298
33	1078	62372
34	1111	62411
35	1133	61855
36	1154	61259
37	1175	60700
38	1205	60637
39	1235	60529
40	1262	60312
41	1289	60116
42	1315	59848
43	1346	59850
44	1375	59763
45	1401	59530
46	1428	59357
47	1457	59265
48	1489	59287
49	1519	59247
50	1548	59185
51	1573	58948
52	1603	58914
53	1632	58839
54	1658	58638
55	1686	58529
56	1711	58333
57	1736	58130
58	1765	58094
59	1792	57961
60	1818	57795
61	1842	57593
62	1869	57473
63	1895	57347
64	1921	57204
65	1948	57091
66	1976	57023
67	2006	57006
68	2032	56886
69	2057	56725
70	2083	56611
71	2109	56494
72	2134	56356
73	2163	56307
74	2186	56129
75	2211	55978
76	2237	55885
77	2261	55721
78	2285	55585
79	2310	55447
80	2337	55373
81	2360	55221
82	2458	56791
83	2495	56929
84	2529	56984
85	2556	56893
86	2581	56759
87	2610	56721
88	2637	56641
89	2664	56544
90	2690	56436
91	2717	56351
92	2742	56241
93	2768	56130
94	2793	56025
95	2822	55981
96	2849	55899
97	2872	55752
98	2896	55624
99	2921	55516
100	2947	55422
101	2972	55316
102	2997	55205
103	3022	55098
104	3044	54952
105	3066	54799
106	3089	54654
107	3114	54560
108	3138	54455
109	3163	54355
110	3185	54205
111	3206	54060
112	3231	53964
113	3254	53837
114	3276	53712
115	3300	53602
116	3325	53522
117	3350	53429
118	3390	53587
119	3431	53755
120	3465	53820
121	3499	53870
122	3523	53773
123	3548	53681
124	3570	53563
125	3591	53418
126	3613	53290
127	3635	53166
128	3658	53056
129	3684	53006
130	3715	53005
131	3743	52972
132	3769	52912
133	3798	52896
134	3825	52843
135	3853	52813
136	3881	52778
137	3906	52715
138	3952	52923
139	3991	53026
140	4027	53093
141	4069	53248
142	4109	53363
143	4155	53556
144	4192	53631
145	4227	53685
146	4262	53727
147	4295	53751
148	4328	53774
149	4359	53771
150	4392	53788
151	4416	53700
152	4448	53702
153	4480	53710
154	4513	53722
155	4544	53724
156	4578	53744
157	4608	53726
158	4639	53719
159	4670	53711
160	4699	53676
161	4727	53640
162	4758	53627
163	4788	53613
164	4818	53585
165	4846	53544
166	4878	53550
167	4913	53579
168	4953	53664
169	4990	53717
170	5032	53831
171	5067	53856
172	5098	53847
173	5126	53800
174	5167	53886
175	5207	53968
176	5242	53991
177	5278	54028
178	5307	53993
179	5335	53944
180	5363	53900
181	5388	53821
182	5417	53790
183	5447	53763
184	5481	53774
185	5521	53852
186	5571	54018
187	5618	54155
188	5651	54148
189	5694	54249
190	5733	54307
191	5773	54366
192	5809	54387
193	5843	54398
194	5897	54589
195	5944	54709
196	5979	54723
197	6014	54737
198	6046	54726
199	6078	54703
200	6112	54711
201	6151	54755
202	6184	54745
203	6218	54744
204	6249	54724
205	6277	54670
206	6307	54634
207	6333	54561
208	6363	54527
209	6393	54498
210	6422	54451
211	6452	54421
212	6481	54373
213	6508	54319
214	6543	54326
215	6582	54366
216	6625	54437
217	6661	54456
218	6693	54430
219	6724	54406
220	6752	54356
221	6775	54264
222	6804	54223
223	6886	54597
224	6975	55027
225	7017	55086
226	7046	55036
227	7075	54987
228	7104	54946
229	7137	54930
230	7177	54967
231	7214	54980
232	7253	55006
233	7303	55117
234	7347	55182
235	7386	55209
236	7437	55329
237	7501	55532
238	7547	55614
239	7593	55682
240	7633	55712
241	7695	55906
242	7746	56010
243	7795	56105
244	7834	56117
245	7866	56092
246	7904	56102
247	7944	56125
248	7997	56238
249	8039	56277
250	8082	56317
251	8139	56456
252	8182	56501
253	8225	56539
254	8270	56597
255	8312	56625
256	8355	56668
257	8389	56646
258	8420	56603
259	8462	56630
260	8497	56619
261	8534	56617
262	8593	56758
263	8648	56868
264	8691	56901
265	8741	56982
266	8788	57040
267	8825	57035
268	8860	57016
269	8891	56973
270	8927	56957
271	8958	56914
272	9000	56934
273	9049	57007
274	9096	57060
275	9138	57082
276	9183	57120
277	9219	57109
278	9263	57139
279	9297	57113
280	9348	57187
281	9388	57195
282	9428	57204
283	9468	57208
284	9534	57376
285	9647	57820
286	9705	57927
287	9748	57946
288	9801	58027
289	9844	58048
290	9891	58090
291	9932	58099
292	9982	58160
293	10030	58201
294	10069	58199
295	10107	58184
296	10144	58167
297	10179	58141
298	10212	58099
299	10243	58048
300	10280	58025
301	10310	57970
302	10340	57911
303	10370	57859
304	10401	57804
305	10446	57833
306	10481	57799
307	10516	57773
308	10546	57718
309	10588	57722
310	10622	57689
311	10655	57647
312	10690	57618
313	10722	57574
314	10756	57538
315	10794	57524
316	10831	57508
317	10860	57441
318	10891	57396
319	10925	57357
320	10957	57313
321	10984	57240
322	11011	57171
323	11042	57118
324	11074	57077
325	11103	57017
326	11132	56953
327	11161	56898
328	11188	56827
329	11214	56751
330	11245	56702
331	11283	56688
332	11320	56671
333	11355	56641
334	11391	56619
335	11422	56566
336	11466	56583
337	11504	56568
338	11543	56559
339	11582	56548
340	11620	56533
341	11658	56521
342	11695	56501
343	11730	56468
344	11766	56443
345	11807	56443
346	11847	56439
347	11887	56432
348	11930	56439
349	11971	56436
350	12011	56428
351	12049	56415
352	12090	56412
353	12124	56376
354	12161	56354
355	12198	56330
356	12241	56340
357	12279	56321
358	12327	56351
359	12377	56384
360	12425	56415
361	12474	56444
362	12519	56459
363	12560	56452
364	12683	56813
365	12742	56889
366	12780	56869
367	12826	56883
368	12873	56899
369	12912	56885
370	12949	56860
371	12985	56830
372	13019	56789
373	13053	56749
374	13092	56732
375	13129	56707
376	13174	56714
377	13212	56695
378	13260	56717
379	13295	56682
380	13334	56661
381	13371	56637
382	13411	56623
383	13537	56968
384	13589	57006
385	13622	56960
386	13654	56911
387	13686	56862
388	13713	56792
389	13739	56720
390	13766	56649
391	13792	56577
392	13820	56514
393	13847	56443
394	13874	56374
395	13906	56326
396	13934	56263
397	13957	56180
398	13981	56103
399	14005	56020
400	14029	55943
401	14052	55861
402	14079	55795
403	14102	55713
404	14128	55642
405	14151	55560
406	14175	55481
407	14197	55398
408	14219	55312
409	14240	55225
410	14261	55139
411	14282	55049
412	14303	54962
413	14326	54883
414	14348	54801
415	14369	54715
416	14392	54636
417	14414	54554
418	14435	54470
419	14459	54396
420	14480	54310
421	14501	54224
422	14523	54145
423	14545	54063
424	14567	53983
425	14589	53905
426	14611	53826
427	14632	53744
428	14655	53667
429	14676	53585
430	14699	53511
431	14724	53444
432	14746	53366
433	14770	53295
434	14793	53224
435	14814	53143
436	14837	53069
437	14859	52992
438	14880	52910
439	14903	52838
440	14922	52754
441	14946	52684
442	14972	52624
443	14997	52558
444	15022	52492
445	15045	52424
446	15071	52363
447	15096	52297
448	15123	52243
449	15150	52184
450	15176	52125
451	15203	52068
452	15230	52012
453	15255	51950
454	15282	51894
455	15309	51835
456	15333	51772
457	15359	51713
458	15388	51662
459	15416	51611
460	15490	51713
461	15569	51831
462	15621	51858
463	15657	51833
464	15698	51823
465	15743	51825
466	15785	51817
467	15821	51791
468	15862	51781
469	15901	51764
470	16006	51961
471	16054	51972
472	16088	51938
473	16125	51913
474	16166	51903
475	16202	51873
476	16237	51844
477	16276	51827
478	16304	51773
479	16332	51720
480	16360	51666
481	16386	51606
482	16413	51551
483	16443	51506
484	16470	51450
485	16499	51398
486	16527	51348
487	16556	51298
488	16588	51257
489	16623	51228
490	16662	51208
491	16702	51194
492	16733	51152
493	16776	51145
494	16808	51104
495	16837	51056
496	16873	51027
497	16910	51002
498	16939	50954
499	16973	50920
500	17005	50881
501	17035	50834
502	17063	50783
503	17088	50724
504	17116	50670
505	17142	50614
506	17170	50562
507	17197	50510
508	17227	50462
509	17254	50409
510	17286	50370
511	17317	50328
512	17348	50288
513	17383	50255
514	17417	50224
515	17449	50184
516	17478	50137
517	17502	50075
518	17528	50019
519	17554	49962
520	17579	49903
521	17601	49837
522	17626	49777
523	17649	49714
524	17675	49659
525	17699	49599
526	17725	49544
527	17748	49481
528	17776	49432
529	17798	49366
530	17826	49317
531	17848	49252
532	17876	49203
533	17903	49151
534	17928	49092
535	17948	49024
536	17972	48965
537	17995	48901
538	18019	48844
539	18041	48779
540	18065	48719
541	18089	48661
542	18115	48609
543	18139	48548
544	18160	48483
545	18183	48422
546	18204	48357
547	18227	48297
548	18250	48236
549	18272	48174
550	18296	48116
551	18320	48057
552	18361	48044
553	18399	48025
554	18433	47992
555	18467	47963
556	18495	47914
557	18521	47862
558	18548	47813
559	18577	47770
560	18603	47718
561	18631	47672
562	18663	47635
563	18764	47776
564	18809	47773
565	18866	47798
566	18899	47764
567	18931	47728
568	18961	47687
569	18990	47641
570	19019	47598
571	19049	47558
572	19081	47519
573	19122	47505
574	19161	47486
575	19193	47450
576	19231	47427
577	19264	47395
578	19296	47358
579	19327	47318
580	19358	47279
581	19386	47233
582	19416	47192
583	19448	47156
584	19483	47126
585	19515	47090
586	19548	47056
587	19591	47046
588	19633	47034
589	19677	47026
590	19721	47017
591	19762	47001
592	19802	46983
593	19846	46977
594	19881	46946
595	19915	46915
596	19948	46879
597	19983	46851
598	20016	46816
599	20048	46780
600	20085	46753
